datetime,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2025-02-18 20:15:00+00:00,0.91,2.455,18.53,,13.613333333333335,106.60333333333334,62.833333333333336,84.47333333333334,24.183333333333334,16.12666666666667,,
2025-02-18 20:30:00+00:00,0.9066666666666667,2.465,18.599999999999998,,12.76,102.24333333333334,62.60333333333333,84.91000000000001,24.113333333333333,15.953333333333333,,
2025-02-18 20:45:00+00:00,0.9,2.455,18.56,,12.923333333333332,102.24333333333334,62.23,85.14999999999999,24.096666666666664,15.69,,
2025-02-18 21:00:00+00:00,0.8966666666666666,2.4850000000000003,18.573333333333334,,13.146666666666667,102.24333333333334,62.23,85.88666666666666,24.036666666666665,15.5,,
2025-02-18 21:15:00+00:00,0.9066666666666667,2.445,18.566666666666666,,12.893333333333333,104.51666666666667,63.56333333333333,86.35000000000001,24.47666666666667,15.37,,
2025-02-18 21:30:00+00:00,0.92,2.5149999999999997,18.30666666666667,,13.493333333333334,103.60000000000001,61.98,87.50999999999999,24.576666666666664,15.536666666666667,,
2025-02-18 21:45:00+00:00,0.93,2.52,18.400000000000002,,14.413333333333334,103.60000000000001,61.56333333333333,87.86666666666667,24.24666666666667,15.923333333333334,,
2025-02-18 22:00:00+00:00,0.94,2.49,18.476666666666667,,12.030000000000001,103.60000000000001,61.56333333333333,87.33999999999999,24.406666666666666,16.026666666666667,,
2025-02-18 22:15:00+00:00,0.9433333333333334,2.42,18.286666666666665,,12.786666666666667,106.39999999999999,63.23,86.94,29.950000000000003,15.843333333333334,,
2025-02-18 22:30:00+00:00,0.9433333333333334,2.375,18.323333333333334,,12.89,115.79333333333334,69.64,87.33666666666666,30.073333333333334,15.633333333333335,,
2025-02-18 22:45:00+00:00,0.9499999999999998,2.52,18.23,,13.406666666666666,115.79333333333334,71.53666666666668,87.83999999999999,23.16333333333333,15.626666666666665,,
